Unique Key,Character,Pinyin,HSK 1 Words,HSK 2 Words,HSK 3 Words,HSK 4 Words, Definition
[1.06] 妈,妈,"mā, ma",妈妈,,,,"mother, mama"
[1.06] 很,很,hěn,很,,,,"very, quite, much"
[1.06] 怎,怎,zěn,怎么、怎么样,,怎么办,,what? why? how?
[1.06] 菜,菜,cài,菜,,菜单,,"vegetables; dish, order; food"
[1.06] 说,说,shuō,说,说话,听说、一般来说,小说、说明,"speak, say, talk; scold, upbraid"
[1.06] 读,读,dú,读,,,阅读,"read, study; pronounce"
[1.07] 书,书,shū,书,,秘书、图书馆,,"book, letter, document; writings"
[1.07] 去,去,qù,去,去年,过去,,"go away, leave, depart"
[1.07] 号,号,hào,号,,,号码,"mark, sign; symbol; number"
[1.07] 天,天,tiān,今天、明天、昨天、天气,,每天、春(天)、夏(天)、聊天(儿)、冬(天)、秋(天),礼拜天,"sky, heaven; god, celestial"
[1.07] 明,明,"míng, ming",明天,,周明、聪明、小明、明白,说明、证明,"bright, light, brilliant; clear"
[1.07] 星,星,xīng,星期,,,星星,"a star, planet; any point of light"
[1.07] 昨,昨,zuó,昨天,,,,"yesterday; in former times, past"
[1.07] 期,期,qī,星期,,,长期、学期,period of time; date; time limit
[1.07] 校,校,xiào,学校,,校长,校园,school; military field officer
[1.07] 看,看,kàn,看、看见,,,看法,"look, see; examine, scrutinize"
[1.07] 请,请,qǐng,请,,请假,邀请、申请,"ask, request; invite; please"
[1.07] 问,问,wèn,问,问题,,,"ask about, inquire after"
[1.08] 下,下,xià,下午、下、下面、下雨,一下,,,"under, underneath, below; down; inferior; bring down"
[1.08] 个,个,gè,个,,个子,,"numerary adjunct, piece; single"
[1.08] 买,买,mǎi,买,,,购买,"buy, purchase; bribe, persuade"
[1.08] 午,午,wǔ,下午、中午、上午,,,,noon; 7th terrestrial branch
[1.08] 商,商,shāng,商店,,,商场、商量,"commerce, business, trade"
[1.08] 喝,喝,hē,喝,,,,"drink; shout, call out"
[1.08] 块,块,kuài,块,,,,"piece, lump; dollar"
[1.08] 子,子,"zi, zǐ",杯子、儿子、椅子、桌子,孩子、妻子,裤子、裙子、房子、个子、电子邮件、筷子、瓶子、盘子、句子、鼻子、帽子,镜子、样子、袜子、肚子、勺（子）、叶子、袋（子）、盒子、孙子、小伙子、例子、包子、饺子,"offspring, child; fruit, seed of; 1st terrestrial branch"
[1.08] 少,少,shǎo,多少、少、不少,,,缺少、至少、减少,"few, less, inadequate"
[1.08] 店,店,diàn,商店、饭店,,,理发店,"shop, store; inn, hotel"
[1.08] 想,想,xiǎng,想,,,理想,"think, speculate, plan, consider"
[1.08] 杯,杯,bēi,杯子,,,干杯,"cup, glass"
[1.08] 米,米,mǐ,米饭,米,,,hulled or husked uncooked rice
[1.08] 茶,茶,chá,茶,,,凉茶,tea
[1.08] 这,这,zhè,这、这儿、这些,,,,"this, the, here"
[1.08] 那,那,nà,那、那儿,,,,"that, that one, those"
[1.08] 钱,钱,"qián, qian",钱,,钱包,价钱、零钱,"money, currency, coins"
[1.08] 饭,饭,fàn,米饭、吃饭、饭店,,,,"cooked rice; food, meal"
[1.09] 作,作,zuò,工作,,作业,动作、作家、作用、作者,"make; work; compose, write; act, perform"
[1.09] 医,医,yī,医生、医院,,,,"cure, heal; doctor, medical"
[1.09] 在,在,zài,在、现在,正在,,实在,"be at, in, on; consist in, rest"
[1.09] 小,小,xiǎo,小、小姐,小时,小刚、小丽、小心、李小美、小明、小云,小雨、小说、小朋友、小伙子、小区、小吃,"small, tiny, insignificant"
[1.09] 工,工,gōng,工作,,,工资,"labor, work; worker, laborer"
[1.09] 椅,椅,yǐ,椅子,,,,"chair, seat"
[1.09] 爸,爸,"bà, ba",爸爸,,,,"father, papa"
[1.09] 狗,狗,gǒu,狗,,,,"dog, canis familiaris"
[1.09] 猫,猫,māo,猫,,熊猫,,cat
[1.09] 院,院,yuàn,医院,出院,,,"courtyard, yard, court; school"
[1.09] 面,面,"miàn, mian",下面、后面、前面,外面、面条,面包、见面,面试、方面、面对、对面,"face; surface; plane; side, dimension"
[1.10] 上,上,"shàng, shang",上、上午,早上、晚上、上班,马上、上网,上海,"top; superior, highest; go up, send up"
[1.10] 前,前,qián,前面、前,,以前,提前,"in front, forward; preceding"
[1.10] 后,后,hòu,后面,以后,最后、然后、后来,后悔,"queen, empress, sovereign; (simp. for 後) behind, rear, after"
[1.10] 和,和,"hé, huo",和,,,暖和,"harmony, peace; peaceful, calm"
[1.10] 坐,坐,zuò,坐,,,乘坐,"sit; seat; ride, travel by"
[1.10] 方,方,"fāng, fang",王方,,北方、南(方)、地方、方便,方法、方面、方向、方式,"a square, rectangle; a region; local"
[1.10] 本,本,běn,本,,笔记本(电脑),本来,"root, origin, source; basis"
[1.10] 桌,桌,zhuō,桌子,,,,"table, desk, stand"
[1.10] 王,王,wáng,王方,,,王静、王、王红,"king, ruler; royal; surname"
[1.10] 电,电,diàn,电脑、电影、打电话、电视,,电梯、笔记本(电脑)、电子邮件,,electricity; electric; lightning
[1.10] 能,能,néng,能,可能,,能力,"to be able; can, permitted to; ability"
[1.10] 脑,脑,nǎo,电脑,,笔记本(电脑),,brain
[1.10] 里,里,lǐ,里,,哪里,公里,unit of distance; village; lane
[1.11] 京,京,jīng,北京,,,京剧,capital city
[1.11] 住,住,zhù,住,,,,"reside, live at, dwell, lodge; stop"
[1.11] 候,候,"hou, hòu",时候,,到时候,气候,wait; expect; visit; greet
[1.11] 分,分,"fēn, fen",分、分钟,,,百分之、部分、十分,divide; small unit of time etc.
[1.11] 北,北,běi,北京,,北方,,north; northern; northward
[1.11] 回,回,huí,回、回来,,回答,回忆,"return, turn around; a time"
[1.11] 影,影,yǐng,电影,,影响,,"shadow; image, reflection; photograph"
[1.11] 时,时,shí,时候,时间、小时,到时候,及时、平时、准时、按时、当时、暂时、同时,"time, season; era, age, period"
[1.11] 点,点,diǎn,点、一点儿,,有点儿、特点,缺点、优点、重点、地点,"dot, speck, spot; point, degree"
[1.11] 现,现,xiàn,现在,,发现,现金、出现,"appear, manifest, become visible"
[1.12] 些,些,xiē,些、这些,,,,"little, few; rather, somewhat"
[1.12] 体,体,tǐ,身体,,体育,体育馆,"body; group, class, body, unit; inferior"
[1.12] 冷,冷,lěng,冷,,,制冷、冷静,"cold, cool; lonely"
[1.12] 太,太,"tài, tai",太、太……了,,太太、太阳,,"very, too, much; big; extreme"
[1.12] 姐,姐,"jie, jiě",小姐,姐姐,,,"elder sister, young lady"
[1.12] 来,来,lái,来、回来,,起来、后来、一般来说,从来、本来、原来、来不及、将来、来得及、来自,"come, coming; return, returning"
[1.12] 果,果,guǒ,水果、苹果,,如果,效果、果汁、结果,fruit; result
[1.12] 样,样,yàng,怎么样,,一样,样子、同样,"shape, form, pattern, style"
[1.12] 水,水,shuǐ,水、水果,,水平,矿泉水,"water, liquid, lotion, juice"
[1.12] 热,热,rè,热,,热情,热闹,hot; heat; fever; restless; zeal
[1.12] 爱,爱,ài,爱,,可爱、爱好,爱情、爱迪生,"love, be fond of, like"
[1.12] 身,身,shēn,身体,,,身边,"body; trunk, hull; rad. no. 158"
[1.12] 雨,雨,yǔ,下雨、雨,,,小雨,rain; rainy; KangXi radical 173
[1.13] 也,也,yě,也,,,也许,also; classical final particle of strong affirmation or identity
[1.13] 习,习,xí,学习,,复习、习惯、练习,预习,practice; flapping wings
[1.13] 卫,卫,wèi,大卫,,,卫生间,"guard, protect, defend"
[1.13] 吧,吧,ba,吧,,,,emphatic final particle
[1.13] 喂,喂,wèi,喂,,,,interjection to call attention
[1.13] 喜,喜,xǐ,喜欢,,,,"like, love, enjoy; joyful thing"
[1.13] 打,打,dǎ,打电话,打篮球,打算、打扫、打,打折、打扰、打针、打印、打招呼、打扮,"strike, hit, beat; fight; attack"
[1.13] 欢,欢,"huan, huān",喜欢,欢迎,,,"happy, pleased, glad; joy; enjoy"
[1.13] 睡,睡,shuì,睡觉,,睡着,,"sleep, doze"
[1.13] 给,给,gěi,给,,,,"give; by, for"
[1.13] 视,视,shì,电视,,,重视,"look at, inspect, observe, see"
[1.13] 觉,觉,"jué, jiào",睡觉,觉得,,感觉,to wake up from sleep; conscious
[1.13] 话,话,huà,打电话,说话,,对话、普通话、笑话,"speech, talk, language; dialect"
[1.14] 东,东,dōng,东西,,东,广东省、房东,"east, eastern, eastward"
[1.14] 亮,亮,"liàng, liang",漂亮,,月亮,亮,"bright, brilliant, radiant, light"
[1.14] 先,先,xiān,先生,,先,首先,"first, former, previous"
[1.14] 啊,啊,a,啊,,,,exclamatory particle
[1.14] 开,开,kāi,开,开始,离开,开玩笑、开心,"open; initiate, begin, start"
[1.14] 张,张,zhāng,张,,,张远、紧张,"stretch, extend, expand; sheet"
[1.14] 服,服,"fú, fu",衣服,服务员,舒服,,"clothes; wear, dress"
[1.14] 漂,漂,piào,漂亮,,,,"float, drift; tossed about"
[1.14] 苹,苹,píng,苹果,,,,artemisia; duckweed; apple
[1.14] 衣,衣,yī,衣服,,,,"clothes, clothing; cover, skin"
[1.14] 西,西,"xi, xī",东西,西瓜,西,西红柿,"west(ern); westward, occident"
[1.14] 车,车,chē,车、出租车,自行车、公共汽车、火车站,,堵车,"cart, vehicle; carry in cart"
[1.14] 都,都,"dōu, dū",都,,,首都、首都机场,"metropolis, capital; all, the whole; elegant, refined"
[1.14] 钟,钟,zhōng,分钟,,,闹钟,clock; bell
[1.15] 兴,兴,"xìng, xīng",高兴,,感兴趣,兴奋、兴趣,"thrive, prosper, flourish"
[1.15] 出,出,chū,出租车,出、出院,,出现、演出、出差、出生、出发,"go out, send out; stand; produce"
[1.15] 听,听,tīng,听,,听说,,"hear; understand; obey, comply"
[1.15] 机,机,jī,飞机,机场、手机,司机、机会、照相机,登机牌、首都机场,desk; machine; moment
[1.15] 租,租,zū,出租车,,,租,"rent, lease; rental; tax"
[1.15] 认,认,rèn,认识,,认真、认为、认,,"recognize, know, understand"
[1.15] 识,识,shi,认识,,,知识,"recognize, understand, know"
[1.15] 飞,飞,fēi,飞机,,起飞,,fly; go quickly; dart; high
[1.15] 高,高,gāo,高兴,高,提高,高速公路,"high, tall; lofty, elevated"
[2.01] 为,为,"wèi, wéi",,为什么、因为,为、认为、为了,以为、成为,"do, handle, govern, act; be"
[2.01] 动,动,dòng,,运动,动物,感动、活动、动作、激动,"move, happen; movement, action"
[2.01] 它,它,tā,,它,,,it; other
[2.01] 得,得,"de, dé",,觉得、得,记得,不得不、获得、值得、得到、来得及、得意,"obtain, get, gain, acquire"
[2.01] 新,新,xīn,,新、新年,新鲜、新闻,新鲜感、重新,"new, recent, fresh, modern"
[2.01] 旅,旅,lǚ,,旅游,,旅行,"trip, journey; travel; traveler"
[2.01] 最,最,zuì,,最,最近、最后,最好,"most, extremely, exceedingly"
[2.01] 游,游,yóu,,旅游、游泳,游戏,春游、导游,"to swim; float, drift; wander, roam"
[2.01] 球,球,qiú,,踢足球、打篮球,,网球、地球、乒乓球、羽毛球,"ball, sphere, globe; round"
[2.01] 眼,眼,yǎn,,眼睛,眼镜,,"eye; eyelet, hole, opening"
[2.01] 睛,睛,jing,,眼睛,,,eyeball; pupil of eye
[2.01] 花,花,huā,,花花,花、鲜花,,flower; blossoms
[2.01] 要,要,"yào, yāo",,要,重要、主要、需要、要求,要是、只要,"necessary, essential; necessity"
[2.01] 足,足,zú,,踢足球,,,"foot; attain, satisfy, enough"
[2.01] 踢,踢,tī,,踢足球,,,kick
[2.01] 运,运,yùn,,运动,,,"run; simplified form of 運 luck, fortune; ship, transport"
[2.02] 休,休,xiū,,休息,,,"rest, stop; retire; do not!"
[2.02] 床,床,chuáng,,起床,,,"bed, couch; framework, chassis"
[2.02] 忙,忙,máng,,忙,帮忙,,"busy, pressed for time; hustling"
[2.02] 息,息,"xi, xī",,休息,,消息、信息,"rest, put stop to, end, cease"
[2.02] 早,早,zǎo,,早上,早,,early; soon; morning
[2.02] 步,步,bù,,跑步,,散步,"step, pace; walk, stroll"
[2.02] 每,每,měi,,每,每天,,"every, each"
[2.02] 病,病,bìng,,生病,,,"illness, sickness, disease"
[2.02] 知,知,zhī,,知道,,通知、知识,"know, perceive, comprehend"
[2.02] 药,药,yào,,药,,,leaf of Dahurian angelica plant; medicine
[2.02] 跑,跑,pǎo,,跑步,,,"run, flee, leave in hurry"
[2.02] 道,道,"dào, dao",,知道,街道,味道、难道、道歉,"path, road, street; method, way"
[2.02] 间,间,jiān,,时间、房间,洗手间、中间,卫生间,"midpoint, space; place, locality"
[2.03] 丈,丈,zhàng,,丈夫,,,"unit of length equal 3.3 meters; gentleman, man, husband"
[2.03] 千,千,qiān,,千,,千万,"thousand; many, numerous; very; (Cant.) a cheater, swindler"
[2.03] 夫,夫,fu,,丈夫,,大夫、功夫,"man, male adult, husband; those"
[2.03] 奶,奶,"nǎi, nai",,牛奶,奶奶,,milk; woman's breasts; nurse
[2.03] 左,左,zuǒ,,左边,,左右,"left; east; unorthodox, improper"
[2.03] 房,房,fáng,,房间,房子,厨房、房东,"house, building; room"
[2.03] 手,手,shǒu,,手表、手机、手,洗手间,,hand
[2.03] 报,报,bào,,报纸,,报名,"report, tell, announce"
[2.03] 旁,旁,páng,,旁边,,,"side; by side, close by, near"
[2.03] 牛,牛,niú,,牛奶,,,"cow, ox, bull; KangXi radical93"
[2.03] 真,真,zhēn,,真,认真、真正,传真,"real, actual, true, genuine"
[2.03] 粉,粉,fěn,,粉色、粉,,,"powder, face powder; plaster"
[2.03] 红,红,hóng,,红、红色,红酒,西红柿、王红,"red, vermillion; blush, flush"
[2.03] 纸,纸,zhǐ,,报纸,,纸、纸袋,paper
[2.03] 色,色,sè,,颜色、粉色、红色,,景色,"color, tint, hue, shade; form, body; beauty, desire for beauty"
[2.03] 表,表,biǎo,,手表,,表示、表演、表扬、表格、代表、表,"show, express, manifest, display"
[2.03] 边,边,"biān, bian",,旁边、左边、右边,一边,身边,"edge, margin, side, border"
[2.03] 送,送,sòng,,送,,,"see off, send off; dispatch, give"
[2.03] 颜,颜,yán,,颜色,,,"face, facial appearance"
[2.04] 两,两,liǎng,,两,,,"two, both, pair, couple; ounce"
[2.04] 乐,乐,"lè, yuè",,快乐,音乐、音乐会、可乐,,"happy, glad; enjoyable; music"
[2.04] 介,介,jiè,,介绍,中介,,"forerunner, herald, harbinger; to lie between; sea shell; to wear armor"
[2.04] 始,始,shǐ,,开始,,,"begin, start; then, only then"
[2.04] 已,已,yǐ,,已经,,,already; finished; stop
[2.04] 帮,帮,bāng,,帮、帮助,帮忙,,"help, assist; defend; shoe upper"
[2.04] 常,常,cháng,,非常、经常,,正常,"common, normal, frequent, regular"
[2.04] 快,快,"kuài, kuai",,快乐、快,,愉快、凉快,"rapid, quick, speedy, fast; soon"
[2.04] 接,接,jiē,,接,,接受、直接、接着,receive; continue; catch; connect
[2.04] 日,日,rì,,生日、日,节日,日记,sun; day; daytime
[2.04] 晚,晚,wǎn,,晚上,,,"night, evening; late"
[2.04] 绍,绍,shào,,介绍,,,"continue, carry on; join"
[2.04] 经,经,jīng,,已经、经常,经理、经过,经验、经历、经济,classic works; pass through
[2.04] 长,长,"zhǎng, cháng",,长,校长,长期、长城、增长、长江、长江大桥,long; length; excel in; leader
[2.04] 非,非,fēi,,非常,,,"not, negative, non-; oppose"
[2.05] 以,以,yǐ,,可以、以后、所以,以前,以为、以,"by means of; thereby, therefore; consider as; in order to"
[2.05] 件,件,jiàn,,件,电子邮件,条件,numerary adjunct for article; matter
[2.05] 准,准,zhǔn,,准备,,准时、标准、准确,"approve, allow, permit; in accord"
[2.05] 可,可,kě,,可以、可能,可乐、可爱,可是、可惜、可怜,"may, can, -able; possibly"
[2.05] 咖,咖,kā,,咖啡,,,coffee; a phonetic
[2.05] 啡,啡,fēi,,咖啡,,,morphine; coffee
[2.05] 备,备,bèi,,准备,,,"prepare, ready, perfect"
[2.05] 外,外,wài,,外面、外,外地,另外,"out, outside, external; foreign"
[2.05] 就,就,jiù,,就,,,"just, simply; to come, go to; to approach, near"
[2.05] 思,思,si,,意思、有意思,,,"think, consider, ponder; final particle"
[2.05] 意,意,"yì, yi",,意思、有意思,满意、愿意、注意、同意,生意、主意、意见、得意、故意,"thought, idea, opinion; think"
[2.05] 考,考,kǎo,,考试,,考虑,"examine, test; investigate"
[2.05] 试,试,shì,,考试,试,笔试、面试,"test, try, experiment"
[2.05] 还,还,hái,,还,还是,,"still, yet, also, besides"
[2.05] 错,错,cuò,,不错、错,,错误,"error, blunder, mistake; wrong"
[2.05] 鱼,鱼,yú,,鱼,,美人鱼,fish; surname; KangXi radical 195
[2.06] 公,公,gōng,,公斤、公共汽车、公司,办公室、公园,公里、高速公路,"fair, equitable; public; duke"
[2.06] 因,因,yīn,,因为,,原因、因此,"cause, reason; by; because (of)"
[2.06] 所,所,suǒ,,所以,,所有、厕所,"place, location; numerary adjunct"
[2.06] 斤,斤,jīn,,公斤,,,"a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69"
[2.06] 条,条,tiáo,,面条,条,条件,"clause, condition; string, stripe"
[2.06] 泳,泳,yǒng,,游泳,,,dive; swim
[2.06] 篮,篮,lán,,打篮球,,,basket
[2.06] 羊,羊,yáng,,羊肉,,,"sheep, goat; KangXi radical 123"
[2.06] 肉,肉,ròu,,羊肉,,,flesh; meat; KangXi radical 130
[2.06] 自,自,zì,,自行车,自己,自然、来自、自信,"self, private, personal; from"
[2.06] 行,行,"xíng, háng",,自行车,银行、行李箱、举行,流行、进行、行、旅行,"go; walk; move, travel; circulate"
[2.06] 门,门,mén,,门,,专门,"gate, door, entrance, opening"
[2.07] 共,共,"gòng, gōng",,公共汽车,一共,共同,"together with, all, total; to share"
[2.07] 到,到,dào,,到,迟到、到时候、遇到,感到、受到、到处、得到、达到、到底,"go to, arrive, been to"
[2.07] 司,司,sī,,公司,司机,,"take charge of, control, manage; officer"
[2.07] 场,场,chǎng,,机场,,商场、场、首都机场,"open space, field, market"
[2.07] 室,室,shì,,教室,办公室,,"room, home, house, chamber"
[2.07] 慢,慢,màn,,慢,,,"slow(ly), leisurely, sluggish"
[2.07] 教,教,jiào,,教室,教,教授、教育,"teach, class"
[2.07] 汽,汽,qì,,公共汽车,,,"steam, vapor, gas"
[2.07] 离,离,lí,,离,离开,距离,rare beast; strange; elegant
[2.07] 走,走,zǒu,,走,,,"walk, go on foot; run; leave"
[2.07] 路,路,lù,,路、路口,,迷路、高速公路,"road, path, street; journey"
[2.07] 过,过,guò,,过,过去、经过、难过,超过、过程、通过、不过,"pass, pass through, go across"
[2.07] 远,远,yuǎn,,远,,张远、永远,"distant, remote, far; profound"
[2.08] 事,事,shì,,事情,办事、同事、故事,事半功倍,"affair, matter, business; to serve; accident, incident"
[2.08] 务,务,"wu, wù",,服务员,,任务,"affairs, business; must, should"
[2.08] 告,告,gào,,告诉,,广告,"tell, announce, inform; accuse"
[2.08] 员,员,yuán,,服务员,,售货员、会员卡、演员,"member; personnel, staff member"
[2.08] 情,情,"qíng, qing",,事情,热情、情况,爱情、感情、心情、同情,"feeling, sentiment, emotion"
[2.08] 找,找,zhǎo,,找,,,"search, seek, look for; find"
[2.08] 白,白,"bái, bai",,白,明白,,"white; pure, unblemished; bright"
[2.08] 等,等,děng,,等,,,"rank, grade; wait; equal; 'etc.'"
[2.08] 让,让,ràng,,让,,,"allow, permit, yield, concede"
[2.08] 诉,诉,su,,告诉,,,accuse; sue; inform; narrate
[2.08] 贵,贵,guì,,贵,,,"expensive, costly, valuable"
[2.08] 黑,黑,hēi,,黑,黑板,,"black; dark; evil, sinister"
[2.09] 从,从,cóng,,从,,从来,"from, by, since, whence, through"
[2.09] 完,完,wán,,完,完成,完全,"complete, finish, settle; whole"
[2.09] 希,希,xī,,希望,,,"rare; hope, expect, strive for"
[2.09] 懂,懂,dǒng,,懂,,,"understand, comprehend"
[2.09] 望,望,wàng,,希望,,失望,"to look at, look forward; to hope, expect"
[2.09] 班,班,bān,,上班、班,,加班、航班,"class, group, grade; squad; job"
[2.09] 第,第,dì,,第一,,,"sequence, number; grade, degree"
[2.09] 舞,舞,wǔ,,跳舞,歌舞,舞蹈,"dance, posture, prance; brandish"
[2.09] 跳,跳,tiào,,跳舞,,,"jump, leap, vault, bounce; dance"
[2.09] 迎,迎,yíng,,欢迎,,,"receive, welcome, greet"
[2.09] 题,题,tí,,题、问题,,,"forehead; title, headline; theme"
[2.10] 别,别,bié,,别,特别、别人,区别、性别,"separate, other; do not"
[2.10] 助,助,zhù,,帮助,,,"help, aid, assist"
[2.10] 哥,哥,"gē, ge",,哥哥,,,elder brother
[2.10] 正,正,zhèng,,正在,真正,正好、正式、正确、正常,"right, proper, correct"
[2.10] 洗,洗,xǐ,,洗,洗手间、洗澡,,"wash, rinse; clean, purify"
[2.10] 瓜,瓜,guā,,西瓜,香瓜,,"melon, gourd, cucumber; rad. 97"
[2.10] 蛋,蛋,dàn,,鸡蛋,蛋糕,,eggs; term of abuse
[2.10] 课,课,kè,,课,,,lesson; course; classwork
[2.10] 鸡,鸡,jī,,鸡蛋,,,chicken
[2.11] 便,便,biàn,,便宜,方便,顺便、随便,"convenience, ease; expedient"
[2.11] 右,右,yòu,,右边,,左右,right; west; right-wing
[2.11] 唱,唱,chàng,,唱歌,,,"sing, chant, call; ditty, song"
[2.11] 姓,姓,xìng,,姓,,,"one's family name; clan, people"
[2.11] 孩,孩,hái,,孩子,女孩儿,,"baby, child; children"
[2.11] 宜,宜,yi,,便宜,,,"suitable, right, fitting, proper"
