Word/Phrase	Pinyin	Part of Speech	Meaning	Lesson
老实	adj.	honest, frank	4
姥姥	n.	maternal grandma	2
雷	n.	thunder	3
类型	n.	type, category	16
离婚	v.	to divorce	1
理论	n.	theory	15
立即	adv.	immediately, at once	16
立刻	adv.	at once, immediately	2
|连忙	adv.	promptly, at once	13
连续	v.	to be continuous, to be in succession	7
联合	v./adj.	to unite, to ally; joint, combined	16
良好	adj.	good, fine	17
粮食	n.	grain, cereal, food	8
亮	adj./v.	bright; to shine	2
临	prep.	about to, just before	2
临时	adv./adj.	for a short time; temporary	16
灵活	adj.	flexible, elastic	15
铃	n.	bell	11
领导	n.	leader	12
令	v.	to make, to cause	14
流传	v.	to spread, to hand down	4
流泪	v.	to shed tears	2
龙	n.	dragon	5
漏	v.	(of a container) to leak	3
陆地	n.	land	3
轮	v.	to take turns	1
轮流	v.	to take turns	3
骂	v.	to curse, to call names	15
馒头	n.	steamed bun	8
满足	v.	to be satisfied	4
毛病	n.	shortcoming, weakness	15
矛盾	n./adj.	conflict; conflicting	14
美术	n.	fine art	17
魅力	n.	charm	17
苗条	adj.	slim, slender	16
描写	v.	to describe, to depict	5
明明	adv.	evidently, undoubtedly	9
明显	adj.	obvious, apparent	16
明星	n.	star, celebrity	12
命令	v./n.	to command; order	15
摸	v.	to touch, to feel, to stroke	7
模仿	v.	to imitate, to model on	11
目前	n.	now, present	18
哪怕	conj.	even if	18
脑袋	n.	head	1
闹钟	n.	alarm clock	11
宁可	adv.	would rather	17
农村	n.	countryside	2
农民	n.	farmer, peasant	4
浓	adj.	strong, deep	14
女士	n.	lady, madam	1
拍	v.	to take (a photo), to shoot (a video)	10
派	v.	to send, to assign, to appoint	15
派	n.	faction, school, group of people sharing identical ideas, style or tastes	18
盼望	v.	to look forward to	3
盆(子)	n.	basin, tub	6
碰	v.	to meet, to come across	5
匹	m.	used for horses	10
片面	adj.	one-sided	7
飘	v.	to float (in the air), to waft	2
平	adj.	flat, level	7
平常	adj./n.	common, ordinary; mediocrity	17
平静	adj.	quiet, peaceful	3
平均	adj.	average	9
评价	v./n.	to evaluate; evaluation, comment	17
其余	pron.	the rest, the others	18
奇迹	n.	miracle, wonder	10
企业	n.	enterprise, company	12
启发	v.	to enlighten, to inspire	13
气氛	n.	atmosphere	13
签	v.	to sign, to autograph	18
浅	adj.	shallow, light	11
强烈	adj.	strong and vehement	2
墙	n.	wall	7
抢	v.	to rob, to snatch	5
悄悄	adv.	quietly, secretly	2
瞧	v.	to look, to see	13
亲切	adj.	warm, cordial, affectionate	14
亲自	adv.	personally, in person	9
勤奋	adj.	diligent	4
轻视	v.	to look down upon, to belittle	15
情景	n.	scene, sight	8
情绪	n.	emotion, mood	11
请求	v./n.	to request, to ask; request	10
球迷	n.	ball game fan	13
趋势	n.	trend, tendency	16
去世	v.	to die, to pass away	4
缺乏	v.	to lack, to be short of	13
确定	v.	to confirm, to make sure	7
确认	v.	to confirm, to affirm	18
群	m.	group, herd, flock	8
人才	n.	talented person	4
人类	n.	humankind	11
人民	n.	people	14
人生	n.	life	3
人员	n.	personnel, staff	16
日常	adj.	day-to-day, daily	14
日子	n.	life, livelihood	14
如何	pron.	how	1
如今	n.	nowadays, present	5
弱	adj.	weak	15
洒	v.	to sprinkle, to spray	18
杀	v.	to kill	6
晒	v.	to dry in the sun	2
闪电	n.	lightning	3
扇子	n.	fan	7
善良	adj.	kind-hearted	5
善于	v.	to be good at	7
伤害	v.	to hurt, to harm	6
上当	v.	to be taken in, to be deceived	15
设计	v./n.	to design; design	18
射(击)	v.	to shoot	6
摄影师	n.	photographer	10
伸	v.	to stretch, to extend	1
身份	n.	identity	18
深刻	adj.	deep, profound	17
神秘	adj.	mystical, mysterious	18
升	v.	to rise, to go up	16
绳子	n.	rope	7
胜利	v.	to win a victory	15
失眠	v.	to suffer from insomnia	11
诗	n.	poem	5
石头	n.	stone, rock	7
时代	n.	era, age, epoch	3
时刻	n.	moment	3
时期	n.	period, stage	4
时尚	n.	fashion	9
实现	v.	to realize, to achieve	12
实验	v./n.	to make an experiment; experiment	11
食物	n.	food	4
始终	adv.	from the beginning to the end, all along	10
士兵	n.	soldier	7
市场	n.	market	11
似的	part.	(indicating similarity) like, as	6
事实	n.	fact	18
事物	n.	thing, object	17
手指	n.	finger	1
守岁	v.	to stay up late or all night on New Year's Eve	6
首	n.	head, first	9
舒适	adj.	comfortable, cozy	3
蔬菜	n.	vegetable	8
数	num.	several	11
甩	v.	to throw off, to swing	4
说不定	adv.	perhaps, possibly, it's likely that...	6
说服	v.	to persuade, to convince	10
似乎	adv.	it seems that..., seemingly	8
算	v.	to regard as, to count as	9
随时	adv.	at any time	3
随手	adv.	randomly, without extra trouble	18
碎	v./adj.	to break into pieces; broken, fragmentary	7
所	part.	used before a verb followed by a noun which is the receiver of the action	11
所谓	adj.	so-called	14
锁	n./v.	lock; to lock up	2
台阶	n.	flight of steps	3
太太	n.	wife	3
逃	v.	to escape	6
桃	n.	peach	13
淘气	adj.	naughty, mischievous	8
套	m.	set, suite	2
体会	v./n.	to learn from experience, to realize; feeling	17
(代)替	prep.	for, on behalf of	6
天真	adj.	naïve, innocent	6
调皮	adj.	naughty, mischievous	8
调整	v./n.	to adjust, to revise; adjustment	18
挑战	v./n.	to challenge, to battle; challenge	15
通常	adv.	usually	14
投篮	v.	to shoot (a basket)	13
投入	v./n./adj.	to put into, to spend on; input; devoted	17
突出	adj.	prominent, salient	9
推广	v.	to popularize, to spread	12
推荐	v.	to recommend	17
外公	n.	maternal grandfather	6
完整	adj.	complete	8
危害	v.	to harm, to jeopardize	11
微笑	v./n.	to smile; smile	2
为	v.	to become	5
为	prep.	"(often. used together with ""Pf "") by (sb.)"	14
围绕	v.	to center around	10
尾巴	n.	tail	7
委屈	v./adj.	to do (sb.) wrong; feeling wronged	4
未来	n.	future	3
位于	v.	to be located at (in, on, etc.)	9
位置	n.	position, location	18
胃	n.	stomach	9
胃口	n.	appetite	9
温暖	adj./v.	warm; to make sb./sth. warm	2
文学家	n.	writer, man of letters	9
文字	n.	written language	5
稳定	adj.	stable	3
卧室	n.	bedroom	2
屋(子)	n.	house	2
无奈	v.	to have no way out, to be helpless	6
勿	adv.	(used in imperative sentences) don't	3
物质	n.	material	4
戏剧	n.	drama, play	17
细节	n.	detail	1
瞎	v./adv.	to be blind; blindly, foolishly	7
吓	v.	to frighten, to scare	6
显得	v.	to seem, to appear	8
显示	v.	to show, to display	10
县	n.	county	2
现代	n./adj.	modern times; modern	11
现实	n.	reality	12
现象	n.	phenomenon	16
限制	v.	to limit, to restrict	8
相处	v.	to get along (with one another)	8
相当	v.	to be equal to	11
相对	adj.	relative, comparative	16
相关	v.	to correlate, to be relevant	12
享受	v.	to enjoy	11
想象	v.	to imagine	2
项	m.	used for itemized things	1
项目	n.	item, project	13
(大)象	n.	elephant	7
消费	v.	to consume	8
销售	v.	to sell, to market	12
孝顺	v./adj.	to show filial piety; obedient and respectful to one's parents	4
斜	adj.	oblique, slanting	5
写作	v.	to write	9
心理	n.	mentality, psychology	11
欣赏	v.	to enjoy, to admire	18
行为	n.	behavior	8
形成	v.	to form, to take shape	5
形容	v.	to describe, to depict	9
形式	n.	form, mode	14
形势	n.	situation, state of affairs	15
形象	adj.	vivid	9
形状	n.	shape	5
兄弟	n.	brother	10
叙述	v.	to narrate	1
宣传	v.	to publicize, to promote	12
学问	n.	knowledge, learning	9
寻找	v.	to look for, to seek	7
询问	v.	to ask, to inquire	6
训练	v.	to train	13
迅速	adj.	quick, rapid	17
牙齿	n.	tooth	7
样式	n.	style, pattern	14
摇	v.	to wave, to shake	7
咬	v.	to bite	6
要不	conj.	otherwise, or else	8
业务	n.	professional work, business	12
业余	adj.	amateur	18
夜	n.	night	2
依然	adv.	still, nonetheless	17
一辈子	n.	all one's life	2
一再	adv.	over and over again	13
移动	v.	to move	12
移民	n.	immigrant	12
乙	n.	second	13
以	conj.	in order to, so as to	17
以及	conj.	and also, as well	12
以来	n.	since	2
亿	num.	hundred million	5
意外	adj./n.	unexpected; accident	16
意义	n.	meaning, significance	6
因而	conj.	therefore, thus	14
银(子)	n.	silver	4
英俊	adj.	handsome	6
英雄	n.	hero	6
营养	n.	nutrition	16
影子	n.	shadow	6
应用	v.	to apply	12
硬	adj.	hard, tough	7
拥抱	v.	to hug, to embrace	3
用途	n.	use, purpose	11
优美	adj.	graceful, beautiful	5
悠久	adj.	long-standing, age-old	5
幼儿园	n.	kindergarten	13
于	prep.	from, out of	5
愿望	n.	wish, hope	11
晕	v.	to faint, to pass out	5
运用	v.	to put into practice, to apply	17
灾害	n.	disaster, calamity	6
再三	adv.	again and again	15
赞美	v.	to praise, to extol	5
糟糕	adj.	bad, awful	17
造成	v.	to cause, to give rise to	13
则	m.	(used for news or writings) piece	7
则	conj.	(indicating contrast) while	14
占	v.	to occupy, to take, to hold, to make up	4
战争	n.	war	4
长辈	n.	senior member of a family	14
招待	v.	to receive, to entertain	9
着火	v.	to catch fire	3
召开	v.	to hold (a meeting), to convene	12
针对	v.	to be targeted at	12
阵	m.	used for a short period or spell of an оссurrence or action	2
争论	v.	to argue, to dispute	10
争取	v.	to strive for, to endeavor to	17
整个	adj.	whole, entire	6
整体	n.	whole, entirety	8
证据	n.	proof, evidence	18
挣	v.	to earn	2
支	m.	used for long, thin, inflexible objects	7
至今	adv.	up to now	4
志愿者	n.	volunteer	16
制造	v.	to make, to produce	6
治(疗)	v.	to treat, to cure	5
智慧	n.	wisdom	7
中心	n.	center	12
重大	adj.	great, significant	10
猪	n.	pig	8
竹子	n.	bamboo	14
逐渐	adv.	gradually	10
主持	v./n.	to host, to preside over; host/hostess	17
主动	adj.	on one's own initiative	15
主人	n.	master, owner	4
注册	v.	to register	12
专家	n.	expert	11
装	v.	to load, to hold	13
装修	v.	to decorate (a house, room, etc.)	2
状态	n.	state, status	11
撞	v.	to bump against	3
追	v.	to chase, to go after	6
姿势	n.	pose, posture	7
资格	n.	qualification	15
资料	n.	data, material	9
自杀	v.	to commit suicide	1
|自由	n./adj.	freedom; free	18
综合	v./adj.	to synthesize, to summarize; comprehensive, integrated	8
总裁	n.	president (of a company)	12
总共	adv.	altogether, in total	16
阻止	v.	to stop, to prevent	15
组	n./m.	group, team, set	18
组成	v.	to form, to constitute	14
组合	v./n.	to combine; combination	14
醉	v.	to be drunk	2
作品	n.	work (of art or literature)	18
作为	v./prep.	to be; as, being	9
作战	v.	to fight a battle	15
