结果,jiēguǒ,n.,result,9
尽管,jǐnguǎn,conj.,although,2
紧张,jǐnzhāng,adj.,nervous,3
经济,jīngjì,n.,economy,10
经历,jīnglì,v.,"to go through, to experience",9
经验,jīngyàn,n.,experience,4
景色,jǐngsè,n.,"scene, view",8
竟然,jìngrán,adv.,indicating unexpectedness,6
镜子,jìngzi,n.,mirror,2
举办,jǔbàn,v.,"to hold, to conduct",6
举行,jǔxíng,v.,"to hold (a meeting, event, etc.)",6
距离,jùlí,n.,distance,8
聚会,jùhuì,v./n.,"to have a party; party, get-together",2
开玩笑,kāiwánxiào,,to be kidding,1
考虑,kǎolǜ,v.,to consider,5
科学,kēxué,n.,science,8
咳嗽,késou,v.,to cough,7
可是,kěshì,conj.,"but, however",9
肯定,kěndìng,adv.,"surely, certainly",5
空气,kōngqì,n.,air,7
空儿,kòngr,n.,"free time, spare time",10
困,kùn,adj.,sleepy,10
因难,yīnnán,n.,difficulty,2
拉,lā,v.,"to pull, to drag",10
来不及,láibují,v.,"to have not enough time to, to be too late to",7
浪费,làngfèi,v.,to waste,5
浪漫,làngmàn,adj.,romantic,1
礼拜天,Lǐbàitiān,n.,Sunday,10
理解,lǐjiě,v.,to understand,2
理想,lǐxiǎng,n.,ideal,9
例如,lìrú,v.,for example,6
俩,liǎ,num.-m.,"two, both",1
联系,liánxì,v.,to contact,2
另外,lìngwài,conj.,"besides, in addition",3
留,liú,v.,to leave,3
流行,liúxíng,v.,to be popular,5
律师,lǜshī,n.,lawyer,3
乱,luàn,adj.,"burry-scurry, confused",4
麻烦,máfan,v.,to bother,2
满,mǎn,v.,to reach a quota or limit,6
免费,miǎnfèi,v.,to be free of charge,6
母亲,mǔqīn,n.,mother,10
耐心,nàixīn,n.,patience,8
难道,nándào,adv.,used in a rhetorical question for emphasis,9
内,nèi,n.,"in, within",6
能力,nénglì,n.,"ability, competence",3
年龄,niánlíng,n.,age,5
判断,pànduàn,v.,"to judge, to decide",3
陪,péi,v.,to accompany,2
皮肤,pífū,n.,skin,6
脾气,píqi,n.,"temper, disposition",1
篇,piān,m.,"used for writings, papers or articles",9
平时,píngshí,n.,normal times,2
葡萄,pútao,n.,grape,5
其次,qícì,pron.,"second, next",3
其中,qízhōng,n.,"among (which, them, etc.)",6
气候,qìhòu,n.,climate,7
巧克力,qiǎokèlì,n.,chocolate,8
亲戚,qīnqi,n.,"relative, kinsfolk",8
轻,qīng,adj.,"light, of little weight",6
轻松,qīngsōng,adj.,"relaxed, effortless",9
情况,qíngkuàng,n.,"situation, circumstances",6
穷,qióng,adj.,"poor, impoverished",10
区别,qūbié,n.,"difference, distinction",9
取,qǔ,v.,"to gain, to seek",9
缺点,quēdiǎn,n.,shortcoming,1
缺少,quēshǎo,v.,to lack,8
却,què,adv.,"but, yet",2
确实,quèshí,adv.,"truly, indeed",10
任何,rènhé,pron.,"any, whatever",5
散步,sànbù,v.,to take a walk,7
沙发,shāfā,n.,sofa,5
伤心,shāngxīn,adj.,"sad, sorrowful",8
深,shēn,adj.,deep,1
甚至,shènzhì,conj.,"even, so far as to",4
生活,shēnghuó,n./v.,life; to live,1
生命,shēngmìng,n.,life,8
生意,shēngyì,n.,"business, trade",4
失败,shībài,v.,to fail,9
师傅,shīfu,n.,a polite title for one with accomplished skills in a trade or handicraft,8
实际,shíjì,n.,reality,5
实在,shízài,adv.,really,5
使,shǐ,v.,"to make, to cause",8
适合,shìhé,v.,"to suit, to fit",1
适应,shìyìng,v.,to get used to,2
收入,shōurù,n.,income,3
首先,shǒuxiān,pron.,first,3
受到,shòudào,v.,to receive,5
售货员,shòuhuòyuán,n.,salesperson,6
熟悉,shúxī,v.,to be familiar with,1
数字,shùzì,n.,number,7
帅,shuài,adj.,handsome,7
顺便,shùnbiàn,adv.,in passing,5
顺利,shùnlì,adj.,smooth,4
说明,shuōmíng,v.,"to explain, to show",7
硕士,shuòshì,n.,"Master, person who has a master's degree",10
随便,suíbiàn,adj.,"casual, at random",9
所有,suǒyǒu,adj.,all,6
台,tái,m.,used for machines,5
态度,tàidu,n.,attitude,8
谈,tán,v.,"to talk, to discuss",4
糖,táng,n.,"sugar, candy",10
躺,tǎng,v.,to lie (on one's back),10
讨厌,tǎoyàn,v.,to dislike,2
特点,tèdiǎn,n.,characteristic,8
提,tí,v.,to mention,4
提供,tígōng,v.,to provide,3
提前,tíqián,v.,to do (sth.) in advance or ahead of time,4
提醒,tíxǐng,v.,to remind,4
条件,tiáojiàn,n.,condition,10
挺,tǐng,adv.,"quite, rather",3
通过,tōngguò,prep.,"through, by means of",9
通知,tōngzhī,v.,to inform,3
袜子,wàzi,n.,socks,6
完全,wánquán,adv.,completely,4
网球,wǎngqiú,n.,tennis,9
往往,wǎngwǎng,adv.,"often, usually",8
味道,wèidao,n.,taste,5
无聊,wúliáo,adj.,boring,2
西红柿,xīhóngshì,n.,tomato,6
吸引,xīyǐn,v.,to attract,1
现金,xiànjīn,n.,cash,5
美慕,měimù,v.,"to envy, to admire",1
橡皮,xiàngpí,n.,"eraser, rubber",10
消息,xiāoxi,n.,news,4
小说,xiǎoshuō,n.,"novel, fiction",6
效果,xiàoguǒ,n.,effect,5
心情,xīnqíng,n.,"mood, state of mind",8
辛苦,xīnkǔ,adj.,"hard, toilsome",7
信心,xìnxīn,n.,confidence,3
兴奋,xīngfèn,adj.,excited,10
幸福,xìngfú,adj.,happy,1
性格,xìnggé,n.,"character, personality",1
修理,xiūlǐ,v.,"to repair, to mend",6
许多,xǔduō,num.,"many, plenty of",9
压力,yālì,n.,"pressure, stress",8
严重,yánzhòng,adj.,"serious, grave",7
研究,yánjiū,v.,"to study, to do research",7
阳光,yángguāng,adj.,"optimistic, cheerful",8
样子,yàngzi,n.,"look, appearance",5
邀请,yāoqǐng,v.,to invite,5
要是,yàoshi,conj.,"if, supposing",7
一切,yīqiè,pron.,"all, every",4
以为,yǐwéi,v.,"to think, to believe",4
艺术,yìshù,n.,art,5
因此,yīncǐ,conj.,"therefore, so",8
印象,yìnxiàng,n.,impression,1
贏,yíng,v.,to win,9
应聘,yìngpìn,v.,to apply for a job,3
永远,yǒngyuǎn,adv.,forever,10
勇敢,yǒnggǎn,adj.,"brave, courageous",9
优点,yōudiǎn,n.,merit,5
优秀,yōuxiù,adj.,"excellent, outstanding",10
幽默,yōumò,adj.,humourous,1
尤其,yóuqí,adv.,especially,5
由于,yóuyú,conj.,"because, since",10
友谊,yǒuyì,n.,friendship,2
愉快,yúkuài,adj.,"glad, cheerful",8
与,yǔ,prep.,with,3
原来,yuánlái,adj.,original,4
原因,yuányīn,n.,reason,1
约会,yuēhuì,v.,"to date, to go to an appointment",3
咱们,zámen,pron.,"we, us",3
暂时,zànshí,n.,"temporary, for the time being",9
责任,zérèn,n.,"responsibility, duty",4
招聘,zhāopìn,v.,to recruit,3
真正,zhēnzhèng,adj.,"true, real",2
正好,zhènghǎo,adv.,"just in time, just right",2
正确,zhèngquè,adj.,"right, correct",9
正式,zhèngshì,adj.,formal,3
证明,zhèngmíng,v.,to prove,8
支持,zhīchí,v.,to support,6
知识,zhīshi,n.,knowledge,4
值得,zhíde,v.,to be worth,6
职业,zhíyè,n.,"occupation, profession",10
植物,zhíwù,n.,plant,7
只要,zhǐyào,conj.,"as long as, provided",8
指,zhǐ,v.,to refer to,7
至少,zhìshǎo,adv.,at least,9
质量,zhìliàng,n.,quality,5
周围,zhōuwéi,n.,surrounding,2
主意,zhǔyi,n.,"idea, plan",9
专门,zhuānmén,adv.,specially,2
专业,zhuānyè,n.,"major, specialty",3
赚,zhuàn,v.,to earn,4
准时,zhǔnshí,adj.,"punctual, on time",3
自然,zìrán,adv.,"naturally, certainly",1
总结,zǒngjié,v.,to sum up,9
最好,zuìhǎo,adv.,had better,1
作家,zuòjiā,n.,writer,9
