Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson
跑步,pǎobù,v.,"to run, to jog",2
便宜,piànyi,adj.,"cheap, inexpensive",11
票,piào,n.,ticket,15
妻子,qīzǐ,n.,wife,12
起床,qǐchuáng,v.,"to get up, to get out of bed",2
千,qiān,num.,thousand,3
铅笔,qiānbǐ,n.,pencil,13
晴,qíng,adj.,"sunny, fine, clear",14
去年,qùnián,n.,last year,11
让,ràng,v.,"to let, to allow",8
日,rì,n.,"day, date",15
上班,shàngbān,v.,"to work, to do a job",9
身体,shēntǐ,n.,body,2
生病,shēngbìng,v.,"to fall ill, to be sick",2
生日,shēngrì,n.,birthday,4
时间,shíjiān,n.,time,2
事情,shìqing,n.,"thing, matter, affair",8
手表,shǒubiǎo,n.,watch,3
手机,shǒujī,n.,cell phone,10
说话,shuōhuà,v.,"to speak, to say, to talk",11
送,sòng,v.,"to send, to deliver",3
虽然,suīrán,conj.,"although, though",14
所以,suǒyǐ,conj.,"so, therefore",6
它,tā,pron.,it,1
踢足球,tīzúqiú,,to play football,1
题,tí,n.,"question, problem",9
跳舞,tiàowǔ,v.,to dance,9
外,wài,n.,"outer, outside",6
完,wán,v.,"to finish, to end",9
玩儿,wánr,v.,"to play, to have fun",14
晚上,wǎnshang,n.,"evening, night",4
往,wǎng,prep.,"to, towards",13
为什么,wèishénme,,why,1
问,wèn,v.,to ask,4
问题,wèntí,n.,"question, problem",9
西瓜,xīguā,n.,watermelon,10
希望,xīwàng,v.,"to hope, to wish",9
洗,xǐ,v.,"to wash, to bathe",10
小时,xiǎoshí,n.,hour,7
笑,xiào,v.,"to smile, to laugh",13
新,xīn,adj.,new,1
姓,xìng,v.,"family name, surname",11
休息,xiūxi,v.,to have or take a rest,2
雪,xuě,n.,snow,12
颜色,yánsè,n.,color,3
眼睛,yǎnjing,n.,eye,1
羊肉,yángròu,n.,mutton,6
药,yào,n.,"medicine, drug",2
要,yào,aux.,"to want to, would like to",1
也,yě,adv.,"also, too",1
一下,yīxià,num.-m.,"used after a verb, indicating an act or an attempt",3
已经,yǐjīng,adv.,already,4
一起,yīqǐ,adv.,together,1
意思,yìsi,n.,meaning,5
因为,yīnwèi,conj.,"because, since",6
阴,yīn,adj.,"overcast, cloudy",15
游泳,yóuyǒng,v.,to swim,6
右边,yòubian,n.,"right, right side",11
鱼,yú,n.,fish,5
远,yuǎn,adj.,"far, distant",7
运动,yùndòng,n./v.,"sport; to take physical exercise, to work out",1
再,zài,adv.,"again, once more",8
早上,zǎoshang,n.,morning,2
丈夫,zhàngfu,n.,husband,3
找,zhǎo,v.,to look for,8
着,zhe,part.,used to indicate a state,13
真,zhēn,adv.,"really, indeed",3
正在,zhèngzài,adv.,in the process of,10
知道,zhīdào,v.,to know,2
准备,zhǔnbèi,v.,"to intend, to plan",5
走,zǒu,v.,to walk,7
最,zuì,adv.,"most, to the greatest extent",1
左边,zuǒbian,n.,left side,3
